0.019688,moveCoelho,10,10,5,100,500,500,10000
0.000593,tornaAdulto1,10,10,5,100,500,500,10000
0.003285,sicronizaMundo1,10,10,5,100,500,500,10000
0.016565,moveRaposa,10,10,5,100,500,500,10000
0.000552,tornaAdulto2,10,10,5,100,500,500,10000
0.011373,sincronizaMundo2,10,10,5,100,500,500,10000
0.016446,moveCoelho,10,10,5,100,500,500,10000
0.002163,tornaAdulto1,10,10,5,100,500,500,10000
0.001263,sicronizaMundo1,10,10,5,100,500,500,10000
0.016246,moveRaposa,10,10,5,100,500,500,10000
0.011178,tornaAdulto2,10,10,5,100,500,500,10000
0.002391,sincronizaMundo2,10,10,5,100,500,500,10000
0.016327,moveCoelho,10,10,5,100,500,500,10000
0.001306,tornaAdulto1,10,10,5,100,500,500,10000
0.013697,sicronizaMundo1,10,10,5,100,500,500,10000
0.015762,moveRaposa,10,10,5,100,500,500,10000
0.000729,tornaAdulto2,10,10,5,100,500,500,10000
0.013376,sincronizaMundo2,10,10,5,100,500,500,10000
0.016472,moveCoelho,10,10,5,100,500,500,10000
0.000538,tornaAdulto1,10,10,5,100,500,500,10000
0.001245,sicronizaMundo1,10,10,5,100,500,500,10000
0.016630,moveRaposa,10,10,5,100,500,500,10000
0.012800,tornaAdulto2,10,10,5,100,500,500,10000
0.001462,sincronizaMundo2,10,10,5,100,500,500,10000
0.016485,moveCoelho,10,10,5,100,500,500,10000
0.003233,tornaAdulto1,10,10,5,100,500,500,10000
0.001306,sicronizaMundo1,10,10,5,100,500,500,10000
0.025875,moveRaposa,10,10,5,100,500,500,10000
0.000982,tornaAdulto2,10,10,5,100,500,500,10000
0.003019,sincronizaMundo2,10,10,5,100,500,500,10000
0.016592,moveCoelho,10,10,5,100,500,500,10000
0.010936,tornaAdulto1,10,10,5,100,500,500,10000
0.002266,sicronizaMundo1,10,10,5,100,500,500,10000
0.016099,moveRaposa,10,10,5,100,500,500,10000
0.000589,tornaAdulto2,10,10,5,100,500,500,10000
0.004534,sincronizaMundo2,10,10,5,100,500,500,10000
0.024553,moveCoelho,10,10,5,100,500,500,10000
0.000578,tornaAdulto1,10,10,5,100,500,500,10000
0.001232,sicronizaMundo1,10,10,5,100,500,500,10000
0.016547,moveRaposa,10,10,5,100,500,500,10000
0.003726,tornaAdulto2,10,10,5,100,500,500,10000
0.010087,sincronizaMundo2,10,10,5,100,500,500,10000
0.016452,moveCoelho,10,10,5,100,500,500,10000
0.004880,tornaAdulto1,10,10,5,100,500,500,10000
0.010515,sicronizaMundo1,10,10,5,100,500,500,10000
0.016552,moveRaposa,10,10,5,100,500,500,10000
0.000653,tornaAdulto2,10,10,5,100,500,500,10000
0.004212,sincronizaMundo2,10,10,5,100,500,500,10000
0.025899,moveCoelho,10,10,5,100,500,500,10000
0.000569,tornaAdulto1,10,10,5,100,500,500,10000
0.002850,sicronizaMundo1,10,10,5,100,500,500,10000
0.016178,moveRaposa,10,10,5,100,500,500,10000
0.000578,tornaAdulto2,10,10,5,100,500,500,10000
0.011952,sincronizaMundo2,10,10,5,100,500,500,10000
0.016902,moveCoelho,10,10,5,100,500,500,10000
0.000581,tornaAdulto1,10,10,5,100,500,500,10000
0.001317,sicronizaMundo1,10,10,5,100,500,500,10000
0.016565,moveRaposa,10,10,5,100,500,500,10000
0.013452,tornaAdulto2,10,10,5,100,500,500,10000
0.001924,sincronizaMundo2,10,10,5,100,500,500,10000
0.045735,moveCoelho,10,10,5,100,500,500,10000
0.000619,tornaAdulto1,10,10,5,100,500,500,10000
0.005034,sicronizaMundo1,10,10,5,100,500,500,10000
0.024909,moveRaposa,10,10,5,100,500,500,10000
0.000566,tornaAdulto2,10,10,5,100,500,500,10000
0.001272,sincronizaMundo2,10,10,5,100,500,500,10000
0.019048,moveCoelho,10,10,5,100,500,500,10000
0.000563,tornaAdulto1,10,10,5,100,500,500,10000
0.010772,sicronizaMundo1,10,10,5,100,500,500,10000
0.016620,moveRaposa,10,10,5,100,500,500,10000
0.003423,tornaAdulto2,10,10,5,100,500,500,10000
